001, The Hundred, Series, NOT DEFINED, Jason Rothenberg, 7.6, https://www.youtube.com/watch?v=aDrsItJ_HU4, NOT DEFINED, Eliza Taylor, Bob Morley, Marie Avgeropoulos, 7, 100
002, The Handmaid's Tale, Series, NOT DEFINED, Bruce Miller, 8.4, https://www.youtube.com/watch?v=81PyH5TH-NQ, NOT DEFINED, Elisabeth Moss, Yvonne Strahovski, Ann Dowd, 5, 57
003, Game Of Thrones, Series, NOT DEFINED, David Benioff, 9.2, https://www.youtube.com/watch?v=KPLWWIOCOOQ, NOT DEFINED, Emilia Clarke, Peter Dinklage, Kit Harington, 8, 73
004, Unorthodox, Series, NOT DEFINED, Anna Winger, 8.0, https://www.youtube.com/watch?v=Nixgq1d5J7g, NOT DEFINED, Shira Haas, Amit RahavJeff, Wilbusch, 1, 4
005, This Is Us, Series, NOT DEFINED, Dan Fogelman, 8.7, https://www.youtube.com/watch?v=hljQfJLQmaI, NOT DEFINED, Milo Ventimiglia, Mandy Moore, Sterling K. Brown, 6, 106
006, The Walking Dead, Series, NOT DEFINED, Frank Darabont, 8.1, https://www.youtube.com/watch?v=sfAc2U20uyg, NOT DEFINED, Andrew Lincoln, Norman Reedus, Melissa McBride, 11, 177
007, Lost, NOT DEFINED, Series, J.J. Abrams, 8.3, https://www.youtube.com/watch?v=KTu8iDynwNc, NOT DEFINED, Jorge Garcia, Josh Holloway, Naveen Andrew, 6, 120
008, Breaking Bad, Series, NOT DEFINED, Vince Gilligan, 9.5, https://www.youtube.com/watch?v=HhesaQXLuRY, NOT DEFINED, Bryan Cranston, Aaron Paul, Anna Gunn, 5, 62
009, Friends, Series, NOT DEFINED, David Crane, 8.9, https://www.youtube.com/watch?v=IEEbUzffzrk, NOT DEFINED, Jennifer Aniston, Courteney Cox, Lisa Kudrow, 10, 235
010, Modern Family, Series, NOT DEFINED, Steven Levitan, 8.5, https://www.youtube.com/watch?v=KO29jdnEiAs, NOT DEFINED, Ed O'Neill, Sofía Vergara, Julie Bowen, 11, 250
011, How I Met Your Mother, Series, NOT DEFINED, Carter Bays, 8.3, https://www.youtube.com/watch?v=cjJLEYMzpjc, NOT DEFINED, Josh Radnor, Jason Segel, Cobie Smulders, 9, 208
012, Vikings, Series, NOT DEFINED, Michael Hirst, 8.5, https://www.youtube.com/watch?v=9GgxinPwAGc, NOT DEFINED, Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, 6, 93
013, Squid Game, Series, NOT DEFINED, Hwang Dong-hyuk, 8.0, https://www.youtube.com/watch?v=oqxAJKy0ii4, NOT DEFINED, Lee Jung-jae, Park Hae-soo, Hoyeon, 1, 10
014, Prison Break, Series, NOT DEFINED, Paul T. Scheuring, 8.3, https://www.youtube.com/watch?v=der8A7Z9u7c, NOT DEFINED, Dominic Purcell, Wentworth Miller, Amaury Nolasco, 5, 90
015, The Queen's Gambit, Series, NOT DEFINED, Scott Frank, 8.6, https://www.youtube.com/watch?v=kwrQzTz16w4, NOT DEFINED, Anya Taylor-Joy, Chloe Pirrie, Bill Camp, 1, 7
016, The Office, Series, NOT DEFINED, Greg Daniels, 9.0, https://www.youtube.com/watch?v=2iKZmRR9AR4, NOT DEFINED, Steve Carell, Jenna Fischer, John Krasinski, 9, 188
017, Brooklyn Nine-Nine, Series, NOT DEFINED, Dan Goor, 8.4, https://www.youtube.com/watch?v=sEOuJ4z5aTc, NOT DEFINED, Andy Samberg, Stephanie Beatriz, Terry Crews, 8, 153
018, The Big Bang Theory, Series, NOT DEFINED, Chuck Lorre, 8.2, https://www.youtube.com/watch?v=WBb3fojgW0Q, NOT DEFINED, Johnny Galecki, Jim Parsons, Kaley Cuoco, 12, 280
019, Dark, Series, NOT DEFINED, Baran bo Odar, 8.7, https://www.youtube.com/watch?v=sqAKNekVaEw, NOT DEFINED, Louis Hofmann, Karoline Eichhorn, Lisa Vicari, 3, 26
020, Money Heist, Series, NOT DEFINED, Álex Pina, 8.2, https://www.youtube.com/watch?v=_InqQJRqGW4, NOT DEFINED, Úrsula Corberó, Álvaro Morte, Itziar Ituño, 5, 41
021, Dune, Movie, 2021, Denis Villeneuve, 8.0, https://www.youtube.com/watch?v=n9xhJrPXop4, 02:35, Timothée Chalamet, Rebecca Ferguson, Zendaya, NOT DEFINED, NOT DEFINED
022, Knives Out, Movie, 2019, Rian Johnson, 7.9, https://www.youtube.com/watch?v=qGqiHJTsRkQ, 02:10, Daniel Craig, Chris Evans, Ana de Armas, NOT DEFINED, NOT DEFINED
023, The Wolf of Wall Street, Movie, 2013, Martin Scorsese, 8.2, https://www.youtube.com/watch?v=iszwuX1AK6A, 03:00, Leonardo DiCaprio, Jonah Hill, Margot Robbie, NOT DEFINED, NOT DEFINED
024, Inception, Movie, 2010, Christopher Nolan, 8.8, https://www.youtube.com/watch?v=fTRnWXXDcL4, 02:28, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, NOT DEFINED, NOT DEFINED
025, Tenet, Movie, 2020, Christopher Nolan, 7.3, https://www.youtube.com/watch?v=LdOM0x0XDMo, 02:30, John David Washington, Robert Pattinson, Elizabeth Debicki, NOT DEFINED, NOT DEFINED
026, CODA, Movie, 2021, Sian Heder, 8.0, https://www.youtube.com/watch?v=0pmfrE1YL4I, 01:51, Emilia Jones, Marlee Matlin, Troy Kotsur, NOT DEFINED, NOT DEFINED
